Player,Teams,year,Mat,Runs,HS,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2008,13,165,38,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2009,16,264,50,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2010,16,307,58,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2011,16,557,71,INR 0.8 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2012,16,364,73,INR 0.8 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2013,16,634,99,INR 0.8 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2014,14,359,73,INR 1.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2015,16,505,82,INR 1.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2016,16,973,113,INR 1.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2017,10,308,64,INR 1.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2018,14,530,92,INR 1.7 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2019,14,464,100,INR 1.7 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2020,15,466,90,INR 1.7 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2021,15,405,72,INR 1.7 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2022,16,341,73,INR 1.7 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2023,14,639,101,INR 1.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,DC,2008,14,340,68,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,MI,2009,5,40,22,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2010,10,191,56,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2011,14,400,95,INR1.38 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2012,15,569,84,INR 1.38 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2013,10,311,73,INR 1.38 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2014,14,377,64,INR 12.50 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2015,14,353,54,INR 12.50 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2016,17,501,82,INR 12.50 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2017,14,479,77,INR 12.50 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2018,16,497,92,INR 5.20 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,MI,2019,16,521,97,INR 5.20 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,MI,2020,17,618,106,INR 5.20 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,MI,2021,16,587,92,INR 5.20 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,PK,2022,14,460,88,INR 8.25 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,PK,2023,11,373,99,INR 8.25 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,DC,2009,7,163,51,INR 1.4 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,DC,2010,11,282,107,INR 1.38 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,DC,2011,13,324,77,INR 3.4Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,DC,2012,8,256,109,INR 3.7Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,DC,2013,16,410,77,INR 3.9Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,SRH,2014,14,528,90,INR 5.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,SRH,2015,14,562,91,INR 5.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,SRH,2016,17,848,93,INR 5.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,SRH,2017,14,641,126,INR 5.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,SRH,2019,12,692,100,INR 12.50Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,SRH,2020,16,548,85,INR 12.50Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,SRH,2021,8,195,57,INR 12.50Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,DC,2022,12,432,92,INR 6.25Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,DC,2023,14,516,86,INR 6.25Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,SRH,2008,13,404,76,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,SRH,2009,16,362,52,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,SRH,2010,16,404,73,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2011,16,372,87,INR 9.2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2012,17,433,109,INR 9.2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2013,19,538,79,INR 9.2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2014,15,390,59,INR 12.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2015,16,482,98,INR 12.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2016,14,489,85,INR 12.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2017,17,333,67,INR 15Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2018,14,286,94,INR 15Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2019,15,405,67,INR 15Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2020,12,332,80,INR 15Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2021,13,381,63,INR 15Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2022,14,268,48,INR 16Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RG Sharma,MI,2023,16,332,65,INR 16Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2008,16,421,55,INR 2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2009,14,434,98,INR 2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2010,16,520,83,INR 2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2011,16,438,73,INR 6Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2012,19,441,73,INR 6Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2013,18,548,100,INR 6Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2014,16,523,87,INR 9cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2015,17,374,62,INR 9cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,GL,2016,15,399,75,INR 9cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,GL,2017,14,442,84,INR 12.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2018,15,445,75,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2019,17,383,59,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2020,0,0,0,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK Raina ,CSK,2021,12,160,54,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,RCB,2021,15,313,76,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,RCB,2020,15,454,73,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,RCB,2019,13,442,82,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,RCB,2018,12,480,90,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,RCB,2017,9,216,89,INR 9.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,RCB,2016,16,687,129,INR 9.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,RCB,2015,16,513,133,INR 9.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,RCB,2014,14,395,89,INR 9.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,RCB,2013,14,360,64,INR 9.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,RCB,2012,16,319,64,INR 9.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,RCB,2011,16,312,65,INR 9.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,DC,2010,7,111,45,INR 1.4 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,DC,2009,15,465,105,INR 1.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers ,DC,2008,6,95,26,INR 1.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2023,16,104,32,INR 12 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2022,14,232,50,INR 15 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2021,16,114,18,INR 15 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2020,14,200,47,INR 15 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2019,15,416,84,INR 15 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2018,16,455,79,INR 15 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,RPS,2017,14,290,61,INR 12.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,RPS,2016,14,284,64,INR 12.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2015,17,372,53,INR 12.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2014,16,371,57,INR 12.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2013,18,461,67,INR 8.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2012,19,358,51,INR 8.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2011,16,392,70,INR 8.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2010,13,287,66,INR 6 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2009,14,332,58,INR 6 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Dhoni ,CSK,2008,16,414,65,INR 6 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,KKR,2009,7,171,44,INR 3.2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,KKR,2010,9,292,88,INR 3.9Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,KKR,2011,12,608,107,INR 3.7Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,RCB,2012,15,733,128,INR 2.9Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,RCB,2013,16,708,175,INR 3.2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,RCB,2014,9,196,46,INR 7.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,RCB,2015,14,491,117,INR 7.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,RCB,2016,10,227,76,INR 7.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,RCB,2017,9,200,77,INR 7.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,PK,2018,11,368,104,INR 2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,PK,2019,13,490,99,INR 2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,PK,2020,7,288,99,INR 2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Gayle ,PK,2021,10,193,46,INR 2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,MI,2008,14,320,48,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,RCB,2009,15,175,66,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,RCB,2010,16,374,68,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,PW,2011,14,264,45,INR 9cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,PW,2012,16,405,69,INR 10Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,PW,2013,16,434,75,INR 9Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,KKR,2014,16,660,83,INR 5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,KKR,2015,13,364,80,INR 5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,KKR,2016,15,394,72,INR 5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,KKR,2017,14,388,87,INR 5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,KKR,2018,16,351,54,INR 5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,KKR,2019,12,282,67,INR 6.4Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,RR,2020,12,196,41,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,CSK,2021,4,115,63,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Uthappa,CSK,2022,12,230,88,INR 2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,RCB,2023,13,140,30,INR 5.50Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,RCB,2022,16,330,66,INR 5.50Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,KKR,2021,17,223,40,INR 7.40Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,KKR,2020,14,169,58,INR 7.40Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,KKR,2019,14,253,97,INR 7.40Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,KKR,2018,16,498,52,INR 7.40Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,GL,2017,14,361,65,INR 2.30Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,GL,2016,16,335,53,INR 2.30Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,RCB,2015,16,141,28,INR 10.50Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,DC,2014,14,325,69,INR 12.50Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,MI,2013,19,510,86,INR 4.14Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,MI,2012,17,238,44,INR 4.14Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,KP,2011,14,282,69,INR 4.14Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,DC,2010,14,278,69,INR 2.10Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,DC,2009,15,288,52,INR 2.10Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Karthik,DC,2008,13,145,56,INR 2.10Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,CSK,2023,14,326,71,INR 0.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,KKR,2022,7,133,44,INR 1Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,DC,2021,2,8,8,INR 5.20 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,DC,2020,9,113,60,INR 5.20 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,RR,2019,14,393,105,INR 4Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,RR,2018,15,370,65,INR 4Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,RPS,2017,16,382,60,INR 9.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,RPS,2016,14,480,74,INR 8Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,RR,2015,14,540,91,INR 7.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,RR,2014,13,339,72,INR 7.5Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,RR,2013,18,488,68,INR 0.22Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,RR,2012,16,560,103,INR 0.22Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,RR,2011,10,120,52,INR 0.22Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,MI,2009,2,144,62,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM Rahane ,MI,2008,13,4,4,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,CSK,2023,16,142,27,INR 6.25Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,CSK,2022,13,272,78,INR 6.25Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,CSK,2021,16,257,72,INR 2.2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,CSK,2020,12,359,71,INR 2.2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,CSK,2019,17,282,57,INR 2.2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,CSK,2018,16,602,100,INR 2.2Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,MI,2017,5,91,63,INR 4Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,MI,2016,13,334,65,INR 4Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,MI,2015,15,281,53,INR 4Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,MI,2014,15,361,68,INR 4Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,MI,2013,19,265,37,INR 0.3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,MI,2012,17,333,81,INR 0.3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,MI,2011,16,395,63,INR 0.3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu ,MI,2010,14,356,55,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Gambhir ,DC,2018,6,85,55,INR 0.3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Gambhir ,KKR,2017,16,498,76,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Gambhir ,KKR,2016,15,501,90,INR 0.3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Gambhir ,KKR,2015,13,327,60,INR 12.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Gambhir ,KKR,2014,16,335,69,INR 12.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Gambhir ,KKR,2013,16,406,60,INR 12.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Gambhir ,KKR,2012,17,590,93,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Gambhir ,KKR,2011,15,378,75,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Gambhir ,DC,2010,11,277,72,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Gambhir ,DC,2009,15,286,71,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Gambhir ,DC,2008,14,534,86,INR 3Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul ,LSG,2023,9,274,74,INR 17CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul ,LSG,2022,15,616,103,INR 17CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul ,PK,2021,13,626,98,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul ,PK,2020,14,670,132,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul ,PK,2019,14,593,100,INR 11 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul ,RCB,2018,14,659,95,INR 1Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul ,RCB,2016,14,397,68,INR 1Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul ,SRH,2015,9,142,44,INR 1Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul ,SRH,2014,11,166,46,INR 1Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL Rahul ,RCB,2013,5,20,12,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,